,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity
2345,2016,North Carolina,GRAPES,Produce,Grapes,2300.0,2300.0,4386000.0,4900.0,0.5
2346,2016,Ohio,GRAPES,Produce,Grapes,1500.0,1500.0,3032000.0,5500.0,0.5
2347,2016,Oregon,GRAPES,Produce,Grapes,22000.0,22000.0,143380000.0,67000.0,0.5
2348,2016,Pennsylvania,GRAPES,Produce,Grapes,13000.0,13000.0,27151000.0,85800.0,0.5
2349,2016,Texas,GRAPES,Produce,Grapes,4500.0,4500.0,20664000.0,13600.0,0.5
2350,2016,Virginia,GRAPES,Produce,Grapes,4000.0,4000.0,16830000.0,8500.0,0.5
2351,2016,Washington,GRAPES,Produce,Grapes,73000.0,73000.0,360060000.0,490000.0,0.5
2352,2016,California,GREEN BEANS,Produce,Green beans,7000.0,7000.0,57689000.0,42000.0,0.5
2353,2016,Delaware,GREEN BEANS,Produce,Green beans,2300.0,2200.0,2660000.0,7150.0,0.5
2354,2016,Florida,GREEN BEANS,Produce,Green beans,30000.0,29500.0,82701000.0,81125.0,0.5
2355,2016,Georgia,GREEN BEANS,Produce,Green beans,14100.0,13400.0,28435000.0,36850.0,0.5
2356,2016,Illinois,GREEN BEANS,Produce,Green beans,15600.0,15200.0,21435000.0,64600.0,0.5
2357,2016,Indiana,GREEN BEANS,Produce,Green beans,3200.0,3000.0,4806000.0,13650.0,0.5
2358,2016,Maryland,GREEN BEANS,Produce,Green beans,4400.0,4400.0,5185000.0,14300.0,0.5
2359,2016,Michigan,GREEN BEANS,Produce,Green beans,19300.0,18400.0,32263000.0,83720.0,0.5
2360,2016,Minnesota,GREEN BEANS,Produce,Green beans,5200.0,5000.0,3804000.0,18250.0,0.5
2361,2016,New Jersey,GREEN BEANS,Produce,Green beans,2900.0,2700.0,3386000.0,4590.0,0.5
2362,2016,New York,GREEN BEANS,Produce,Green beans,30600.0,28300.0,52146000.0,99050.0,0.5
2363,2016,North Carolina,GREEN BEANS,Produce,Green beans,5000.0,4600.0,5829000.0,8970.0,0.5
2364,2016,Oregon,GREEN BEANS,Produce,Green beans,12200.0,12100.0,17419000.0,81675.0,0.5
2365,2016,Pennsylvania,GREEN BEANS,Produce,Green beans,10000.0,9400.0,9075000.0,26790.0,0.5
2366,2016,Tennessee,GREEN BEANS,Produce,Green beans,10600.0,10200.0,25239000.0,32640.0,0.5
2367,2016,Texas,GREEN BEANS,Produce,Green beans,2500.0,2200.0,1249000.0,6050.0,0.5
2368,2016,Washington,GREEN BEANS,Produce,Green beans,2900.0,2900.0,4968000.0,13340.0,0.5
2369,2016,Wisconsin,GREEN BEANS,Produce,Green beans,71800.0,66600.0,45634000.0,366300.0,0.5
2370,2016,California,HONEYDEW,Produce,Honeydew,12100.0,12100.0,75111000.0,196625.0,0.5
2371,2016,California,KIWIFRUIT,Produce,Kiwis,3900.0,3900.0,44431000.0,28300.0,0.5
2372,2016,Arizona,LEMONS,Produce,Lemons,7500.0,7500.0,56792105.26,70000.0,0.5
2373,2016,California,LEMONS,Produce,Lemons,47000.0,47000.0,678260000.0,836000.0,0.5
2374,2016,Arizona,LETTUCE,Produce,Lettuce,73100.0,72600.0,920707000.0,1184700.0,0.5
2375,2016,California,LETTUCE,Produce,Lettuce,245600.0,244100.0,2260860000.0,3976350.0,0.5
2376,2016,California,NECTARINES,Produce,Nectarines,17000.0,17000.0,122744000.0,141550.0,0.5
2377,2016,Washington,NECTARINES,Produce,Nectarines,1000.0,1000.0,11047000.0,9800.0,0.5
2378,2016,California,ONIONS,Produce,Onions,44900.0,43000.0,178165000.0,935250.0,0.5
2379,2016,Colorado,ONIONS,Produce,Onions,3600.0,3100.0,21902000.0,69750.0,0.5
2380,2016,Georgia,ONIONS,Produce,Onions,12400.0,11400.0,115596000.0,148200.0,0.5
2381,2016,Idaho,ONIONS,Produce,Onions,13900.0,13700.0,64994000.0,589100.0,0.5
2382,2016,New Mexico,ONIONS,Produce,Onions,6200.0,6100.0,94465000.0,176900.0,0.5
2383,2016,New York,ONIONS,Produce,Onions,7200.0,7000.0,46655000.0,108500.0,0.5
2384,2016,Oregon,ONIONS,Produce,Onions,23800.0,23500.0,242676000.0,906000.0,0.5
2385,2016,Texas,ONIONS,Produce,Onions,11000.0,9200.0,64301000.0,135700.0,0.5
2386,2016,Washington,ONIONS,Produce,Onions,31000.0,30900.0,230564000.0,1120125.0,0.5
2387,2016,California,ORANGES,Produce,Oranges,157000.0,157000.0,826294000.0,2340000.0,0.5
2388,2016,Florida,ORANGES,Produce,Oranges,387000.0,387000.0,1070657000.0,3677000.0,0.5
2389,2016,Texas,ORANGES,Produce,Oranges,7400.0,7400.0,30319000.0,71000.0,0.5
2390,2016,Oregon,BOYSENBERRIES,Produce,Other berries,340.0,340.0,1345000.0,1080.0,0.5
2391,2016,Arizona,DATES,Produce,Other fruit,2200.0,2200.0,21098000.0,6940.0,0.5
2392,2016,California,DATES,Produce,Other fruit,10100.0,10100.0,75156000.0,30400.0,0.5
2393,2016,California,PRUNES,Produce,Other fruit,45000.0,45000.0,117720000.0,54000.0,0.5
2394,2016,Hawaii,PAPAYAS,Produce,Papayas,700.0,700.0,9713000.0,9880.0,0.5
2395,2016,Alabama,PEACHES,Produce,Peaches,1500.0,1500.0,4545000.0,3300.0,0.5
2396,2016,California,PEACHES,Produce,Peaches,40200.0,40200.0,350285000.0,569000.0,0.5
2397,2016,Colorado,PEACHES,Produce,Peaches,2500.0,2500.0,27068000.0,13730.0,0.5
2398,2016,Georgia,PEACHES,Produce,Peaches,10000.0,10000.0,42094000.0,43300.0,0.5
2399,2016,Idaho,PEACHES,Produce,Peaches,880.0,880.0,6946000.0,7770.0,0.5
2400,2016,Illinois,PEACHES,Produce,Peaches,1100.0,1100.0,13780000.0,5420.0,0.5
2401,2016,Maryland,PEACHES,Produce,Peaches,800.0,800.0,3109000.0,2550.0,0.5
2402,2016,Michigan,PEACHES,Produce,Peaches,2300.0,2300.0,9650000.0,11000.0,0.5
2403,2016,Missouri,PEACHES,Produce,Peaches,1100.0,1100.0,4414000.0,2570.0,0.5
2404,2016,New Jersey,PEACHES,Produce,Peaches,4300.0,4300.0,26244000.0,18470.0,0.5
2405,2016,New York,PEACHES,Produce,Peaches,1400.0,1400.0,3329000.0,2420.0,0.5
2406,2016,North Carolina,PEACHES,Produce,Peaches,900.0,900.0,3483000.0,2700.0,0.5
2407,2016,Ohio,PEACHES,Produce,Peaches,640.0,640.0,2678000.0,1570.0,0.5
2408,2016,Pennsylvania,PEACHES,Produce,Peaches,4000.0,4000.0,19118000.0,16000.0,0.5
2409,2016,South Carolina,PEACHES,Produce,Peaches,13000.0,13000.0,67934000.0,63300.0,0.5
2410,2016,Texas,PEACHES,Produce,Peaches,3000.0,3000.0,9240000.0,4400.0,0.5
2411,2016,Utah,PEACHES,Produce,Peaches,1200.0,1200.0,6970000.0,5160.0,0.5
2412,2016,Virginia,PEACHES,Produce,Peaches,1000.0,1000.0,4355000.0,3250.0,0.5
2413,2016,Washington,PEACHES,Produce,Peaches,2100.0,2100.0,13567000.0,12530.0,0.5
2414,2016,West Virginia,PEACHES,Produce,Peaches,950.0,950.0,3815000.0,3500.0,0.5
2415,2016,California,PEARS,Produce,Pears,10400.0,10400.0,95853000.0,175000.0,0.5
2416,2016,Oregon,PEARS,Produce,Pears,14900.0,14900.0,154082000.0,214910.0,0.5
2417,2016,Washington,PEARS,Produce,Pears,20800.0,20800.0,235828000.0,348860.0,0.5
2418,2016,Illinois,PEAS,Produce,Peas,7100.0,6600.0,4047000.0,14850.0,0.5
2419,2016,Minnesota,PEAS,Produce,Peas,52300.0,46300.0,23808000.0,94915.0,0.5
2420,2016,New York,PEAS,Produce,Peas,8300.0,8100.0,3482000.0,14175.0,0.5
2421,2016,Oregon,PEAS,Produce,Peas,20900.0,18900.0,10884000.0,37800.0,0.5
2422,2016,Washington,PEAS,Produce,Peas,34200.0,32300.0,27593000.0,80750.0,0.5
2423,2016,Wisconsin,PEAS,Produce,Peas,28700.0,27100.0,13007000.0,63685.0,0.5
2424,2016,California,PLUMS,Produce,Plums,15000.0,15000.0,87460000.0,108800.0,0.5
2425,2016,Alaska,POTATOES,Produce,Potatoes,550.0,530.0,3308000.0,7950.0,0.5
2426,2016,California,POTATOES,Produce,Potatoes,39400.0,38300.0,279443000.0,768600.0,0.5
2427,2016,California,SWEET POTATOES,Produce,Potatoes,20000.0,20000.0,143220000.0,310000.0,0.5
2428,2016,Colorado,POTATOES,Produce,Potatoes,57300.0,57100.0,213466000.0,1111800.0,0.5
2429,2016,Florida,POTATOES,Produce,Potatoes,25000.0,22900.0,86650000.0,269100.0,0.5
2430,2016,Idaho,POTATOES,Produce,Potatoes,325000.0,324000.0,968274000.0,6966000.0,0.5
2431,2016,Illinois,POTATOES,Produce,Potatoes,7500.0,7400.0,28159000.0,140600.0,0.5
2432,2016,Kansas,POTATOES,Produce,Potatoes,4200.0,4200.0,11592000.0,63000.0,0.5
2433,2016,Louisiana,SWEET POTATOES,Produce,Potatoes,10000.0,9500.0,32376000.0,76000.0,0.5
2434,2016,Maine,POTATOES,Produce,Potatoes,47000.0,46500.0,173800000.0,755650.0,0.5
2435,2016,Michigan,POTATOES,Produce,Potatoes,48000.0,47000.0,177378000.0,869500.0,0.5
2436,2016,Minnesota,POTATOES,Produce,Potatoes,44000.0,43000.0,155660000.0,860000.0,0.5
2437,2016,Mississippi,SWEET POTATOES,Produce,Potatoes,30000.0,29000.0,112404000.0,246500.0,0.5
2438,2016,Missouri,POTATOES,Produce,Potatoes,8200.0,7900.0,26751000.0,120500.0,0.5
2439,2016,Montana,POTATOES,Produce,Potatoes,11100.0,11000.0,46800000.0,184250.0,0.5
2440,2016,Nebraska,POTATOES,Produce,Potatoes,16500.0,16400.0,81180000.0,369000.0,0.5
2441,2016,New York,POTATOES,Produce,Potatoes,15000.0,14800.0,44755000.0,177600.0,0.5
2442,2016,North Carolina,POTATOES,Produce,Potatoes,14000.0,13600.0,32613000.0,149600.0,0.5
2443,2016,North Carolina,SWEET POTATOES,Produce,Potatoes,98000.0,95000.0,309510000.0,855000.0,0.5
2444,2016,North Dakota,POTATOES,Produce,Potatoes,80000.0,72000.0,222480000.0,1080000.0,0.5
2445,2016,Oregon,POTATOES,Produce,Potatoes,45000.0,44900.0,209279000.0,1324550.0,0.5
2446,2016,Texas,POTATOES,Produce,Potatoes,21500.0,21000.0,141845000.0,414750.0,0.5
2447,2016,Virginia,POTATOES,Produce,Potatoes,4400.0,4100.0,18192000.0,59450.0,0.5
2448,2016,Washington,POTATOES,Produce,Potatoes,170000.0,169000.0,813313000.0,5281250.0,0.5
2449,2016,Wisconsin,POTATOES,Produce,Potatoes,69000.0,68000.0,343128000.0,1479000.0,0.5
2450,2016,California,PUMPKINS,Produce,Pumpkins,4900.0,4800.0,23976000.0,64800.0,0.5
2451,2016,Illinois,PUMPKINS,Produce,Pumpkins,18100.0,17400.0,42824000.0,339300.0,0.5
2452,2016,Indiana,PUMPKINS,Produce,Pumpkins,7100.0,7000.0,13608000.0,47250.0,0.5
2453,2016,Michigan,PUMPKINS,Produce,Pumpkins,5400.0,5100.0,11909000.0,39525.0,0.5
2454,2016,Minnesota,PUMPKINS,Produce,Pumpkins,2100.0,2000.0,3950000.0,11000.0,0.5
2455,2016,New Jersey,PUMPKINS,Produce,Pumpkins,2100.0,2000.0,5340000.0,10000.0,0.5
2456,2016,New York,PUMPKINS,Produce,Pumpkins,6500.0,5700.0,12717000.0,32775.0,0.5
2457,2016,North Carolina,PUMPKINS,Produce,Pumpkins,3100.0,2900.0,18661000.0,37700.0,0.5
2458,2016,Ohio,PUMPKINS,Produce,Pumpkins,3800.0,3500.0,9362000.0,26250.0,0.5
2459,2016,Oregon,PUMPKINS,Produce,Pumpkins,2200.0,2100.0,5146000.0,24150.0,0.5
2460,2016,Pennsylvania,PUMPKINS,Produce,Pumpkins,7400.0,7000.0,24158000.0,59500.0,0.5
