Unnamed: 0,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yields_tons_per_acre,price_per_ton,tons_never_harvested,not_marketable,inedible,bad_weather,pests_disease,market_dynamics,other
2286,2016,new york,cabbage,produce,cabbage,11000.0,10600.0,70962000.0,204050.0,0.5,400.0,19.25,347.7677039941191,3850.0,1078.0,1078.0,161.70000000000002,2.4255,0.5005,1529.374
2287,2016,north carolina,cabbage,produce,cabbage,3000.0,2900.0,13073000.0,35525.0,0.5,100.0,12.25,367.99437016185783,612.5,171.50000000000003,171.50000000000003,25.725,0.385875,0.07962499999999999,243.30949999999999
2288,2016,texas,cabbage,produce,cabbage,6100.0,5700.0,35910000.0,99750.0,0.5,400.0,17.5,360.0,3500.0,980.0000000000001,980.0000000000001,147.0,2.205,0.45499999999999996,1390.34
2289,2016,wisconsin,cabbage,produce,cabbage,4100.0,4000.0,31721000.0,133000.0,0.5,100.0,33.25,238.50375939849624,1662.5,465.50000000000006,465.50000000000006,69.825,1.047375,0.21612499999999998,660.4114999999999
2290,2016,arizona,cantaloupe,produce,cantaloupe,16000.0,15900.0,63147000.0,186825.0,0.5,100.0,11.75,338.00080289040545,587.5,164.50000000000003,164.50000000000003,24.675,0.37012500000000004,0.076375,233.3785
2291,2016,california,cantaloupe,produce,cantaloupe,30000.0,29500.0,142485000.0,442500.0,0.5,500.0,15.0,322.0,3750.0,1050.0,1050.0,157.5,2.3625000000000003,0.48749999999999993,1489.6499999999999
2292,2016,florida,cantaloupe,produce,cantaloupe,2400.0,2300.0,11861000.0,31050.0,0.5,100.0,13.5,381.9967793880837,675.0,189.00000000000003,189.00000000000003,28.35,0.42525,0.08775,268.137
2293,2016,georgia,cantaloupe,produce,cantaloupe,4100.0,4000.0,12988000.0,34000.0,0.5,100.0,8.5,382.0,425.0,119.00000000000001,119.00000000000001,17.85,0.26775,0.055249999999999994,168.827
2294,2016,indiana,cantaloupe,produce,cantaloupe,1800.0,1700.0,7234000.0,15725.0,0.5,100.0,9.25,460.03179650238474,462.5,129.5,129.5,19.425,0.291375,0.060125,183.7235
2295,2016,north carolina,cantaloupe,produce,cantaloupe,1200.0,1100.0,6618000.0,10340.0,0.5,100.0,9.4,640.0386847195358,470.0,131.60000000000002,131.60000000000002,19.740000000000002,0.29610000000000003,0.061099999999999995,186.7028
2296,2016,pennsylvania,cantaloupe,produce,cantaloupe,1000.0,1000.0,3645000.0,6750.0,0.5,0.0,6.75,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2297,2016,south carolina,cantaloupe,produce,cantaloupe,1700.0,1600.0,7362000.0,17200.0,0.5,100.0,10.75,428.0232558139535,537.5,150.50000000000003,150.50000000000003,22.575000000000003,0.338625,0.06987499999999999,213.51649999999998
2298,2016,texas,cantaloupe,produce,cantaloupe,2000.0,1900.0,5225000.0,11875.0,0.5,100.0,6.25,440.0,312.5,87.50000000000001,87.50000000000001,13.125,0.196875,0.040624999999999994,124.13749999999999
2299,2016,california,carrots,produce,carrots,61000.0,60000.0,722395000.0,1155000.0,0.5,1000.0,19.25,625.4502164502164,9625.0,2695.0000000000005,2695.0000000000005,404.25,6.063750000000001,1.25125,3823.435
2300,2016,michigan,carrots,produce,carrots,4000.0,3900.0,12700000.0,66300.0,0.5,100.0,17.0,191.55354449472097,850.0,238.00000000000003,238.00000000000003,35.7,0.5355,0.11049999999999999,337.654
2301,2016,texas,carrots,produce,carrots,2100.0,2000.0,6608000.0,29500.0,0.5,100.0,14.75,224.0,737.5,206.50000000000003,206.50000000000003,30.975,0.464625,0.09587499999999999,292.9645
2302,2016,washington,carrots,produce,carrots,7200.0,7100.0,34528000.0,223650.0,0.5,100.0,31.5,154.3840822714062,1575.0,441.00000000000006,441.00000000000006,66.15,0.9922500000000001,0.20475,625.653
2303,2016,wisconsin,carrots,produce,carrots,4600.0,4500.0,10588000.0,112500.0,0.5,100.0,25.0,94.11555555555556,1250.0,350.00000000000006,350.00000000000006,52.5,0.7875,0.16249999999999998,496.54999999999995
2304,2016,arizona,cauliflower,produce,cauliflower,5400.0,5400.0,70707000.0,44550.0,0.5,0.0,8.25,1587.138047138047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2305,2016,california,cauliflower,produce,cauliflower,36500.0,36500.0,345054000.0,328500.0,0.5,0.0,9.0,1050.392694063927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306,2016,california,celery,produce,celery,31700.0,31200.0,303355000.0,826800.0,0.5,500.0,26.5,366.9025157232704,6625.0,1855.0000000000002,1855.0000000000002,278.25,4.17375,0.86125,2631.7149999999997
2307,2016,michigan,celery,produce,celery,2000.0,1900.0,15966000.0,57000.0,0.5,100.0,30.0,280.10526315789474,1500.0,420.00000000000006,420.00000000000006,63.00000000000001,0.9450000000000001,0.19499999999999998,595.86
2308,2016,california,cherries,produce,cherries,33000.0,33000.0,184490000.0,55000.0,0.5,0.0,1.6666666666666667,3354.3636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
